	coach	race	mu	phi	value
197179	Philip	Slann	1378.315	195.262	890.1600000000001
134790	janot	Goblins	1391.369	200.502	890.1139999999999
72524	Beralath	Chaos Dwarves	1440.424	220.128	890.104
213771	Rekissone	Underworld	1348.591	183.404	890.0809999999999
194883	Poups	Slann	1137.857	99.135	890.0195
14811	KPOP	Humans	1480.936	236.379	889.9884999999999
34274	Bananahands	Orc	1426.472	214.605	889.9595
122379	stogr	Chaos	1452.016	224.847	889.8985
263	Schyso	Wood Elves	1388.833	199.586	889.868
18658	GDRA	Undead	1302.143	164.911	889.8655
36071	Delmo	Orc	1513.477	249.45	889.8520000000001
135271	Hendo	Goblins	1447.764	223.182	889.809
127656	Bertrandule	Goblins	1199.986	124.088	889.7660000000001
145266	Videador	Necromantic	1291.885	160.863	889.7275
2448	Aust	Wood Elves	1322.593	173.163	889.6855
17042	Giappone	Humans	1451.258	224.67	889.5830000000001
89414	tully	Dark Elves	1144.682	102.055	889.5445
124963	Kralli	Chaos	1283.792	157.699	889.5444999999999
142253	Borthcollective	Necromantic	1378.354	195.524	889.5440000000001
19777	Goldmember	Undead	1260.408	148.369	889.4854999999999
30339	Cullymon	Orc	1320.605	172.516	889.315
97168	Kopuł	High Elves	1345.315	182.404	889.3050000000001
30197	StoutYoungblood	Orc	1287.945	159.457	889.3025
38088	Zartog	Norse	1464.936	230.26	889.286
91643	alternat	High Elves	1234.635	138.15	889.26
119363	Yoyoel	Chaos	1321.707	172.993	889.2245000000001
110173	Ghostwriter	Amazons	1376.978	195.103	889.2205
70451	Jazmin	Chaos Dwarves	1220.679	132.592	889.1990000000001
15477	Paneki	Humans	1427.195	215.203	889.1874999999999
21328	drah	Undead	1405.725	206.617	889.1824999999999
21380	ifk_manager	Undead	1496.145	242.793	889.1624999999999
44274	Pulpomurillo	Norse	1451.286	224.878	889.0910000000001
57996	AlphaDingo	Dwarves	1138.341	99.71	889.0659999999999
125285	Redom	Chaos	1305.597	166.623	889.0395
37638	Winters	Norse	1416.237	210.889	889.0145
12832	Godsama	Humans	1416.237	210.889	889.0145
151111	tryskell	Elves	1333.642	177.863	888.9845
84615	kungfupanda	Dark Elves	1327.632	175.461	888.9795
3076	blacksalamander	Wood Elves	1363.782	189.934	888.9469999999999
11109	awesome	Humans	1278.517	155.829	888.9445000000001
54698	danisheraser	Dwarves	1458.085	227.657	888.9425
48045	madbowl	Skaven	1439.595	220.272	888.9150000000001
9972	robrod	Humans	1319.989	172.446	888.874
65895	saiharris	Chaos Dwarves	1456.08	226.885	888.8675
125736	Dodge	Chaos	1315.536	170.668	888.866
30016	Etolini	Orc	1351.27	184.966	888.855
34012	Habibi	Orc	1405.952	206.85	888.827
48342	cagerit	Skaven	1483.012	237.717	888.7194999999999
180483	Old_dwarf	Ogres	1241.142	140.981	888.6895000000001
79633	BURGUI2000	Lizardmen	1339.988	180.541	888.6355000000001
47186	NightMan	Skaven	1327.016	175.373	888.5835000000001
88300	themasterofchaos	Dark Elves	1317.131	171.421	888.5785000000001
100129	AngryHobbit	Halflings	1108.515	87.982	888.5600000000002
35850	enorme	Orc	1315.77	170.889	888.5474999999999
37780	Johnny	Norse	1352.992	185.78	888.5419999999999
46037	rodvil	Skaven	1353.719	186.079	888.5215000000001
100004	Spazzfist	Halflings	1334.088	178.23	888.5129999999999
114872	Coggirl	Amazons	1225.293	134.752	888.4129999999999
30808	GavinM	Orc	1416.237	211.147	888.3695000000001
205206	coachclyde	Chaos Pact	1296.218	163.152	888.3380000000001
180960	sasjhwa	Ogres	1386.423	199.237	888.3305
111215	capomuta_harkonnen	Amazons	1319.288	172.385	888.3255
10585	mat43	Humans	1381.134	197.125	888.3215
56017	Xico	Dwarves	1305.026	166.705	888.2635
203103	Vilas	Chaos Pact	1336.382	179.248	888.2620000000001
65577	guillerkawasaki	Chaos Dwarves	1323.703	174.181	888.2504999999999
101918	Jango	Halflings	1369.631	192.575	888.1935000000001
127453	Schyso	Goblins	1304.855	166.672	888.175
7501	Nikon	Wood Elves	1424.624	214.597	888.1315
37661	Gymir	Norse	1294.926	162.735	888.0884999999998
85013	coombz	Dark Elves	1421.915	213.538	888.0699999999999
53646	Mabego	Skaven	1321.352	173.313	888.0695000000001
202838	lapiedra	Chaos Pact	1367.554	191.797	888.0615
178890	nicklaus13	Ogres	1239.389	140.553	888.0065
175214	Ogrestan	Ogres	1347.305	183.72	888.0050000000001
35604	Nes_one	Orc	1255.389	146.969	887.9664999999999
